BUSAGE,BUSTYPE,MAXLINEUTIL,DAYSDELQ,TOTACBAL,DEFAULT
82,A,0.3728,0,10253.85,N
12,A,0,0,10254.29,N
14,A,0.3419,0,10257.86,N
27,C,0.4103,0,10259.97,N
49,A,0.5132,0,10264.58,N
194,A,0,0,10268.31,N
514,B,0.2411,0,10271.04,N
221,C,1.0271,0,10271.11,N
49,D,0.2266,0,10277.63,N
211,D,0,0,10282.02,N
38,A,0,0,10284.02,N
51,A,0.6052,0,10288.7,Y
377,A,0,0,10289.64,N
225,C,0,0,10293.26,N
45,A,0.1029,0,10298.3,N
78,B,0.2059,0,10299.97,N
112,B,0.206,0,10300.18,N
318,D,0,0,10303.22,N
107,A,0.6871,0,10307.27,N
149,A,0.2061,0,10308.94,N
44,B,0.2291,0,10310.23,N
52,A,0.5734,0,10321.85,N
156,A,0.6883,0,10325.44,N
26,D,1.0173,34,10326.54,Y
59,B,0.5164,0,10328.17,N
93,A,0,0,10334.16,N
44,A,0.4134,0,10335.85,N
123,A,0.689,0,10336,N
94,B,0.689,0,10336.37,N
133,B,0.1033,0,10339.94,N
280,A,0.3446,0,10340.75,N
66,A,0.7789,0,10344.95,N
77,A,0.6896,0,10345.11,N
59,D,1.0345,46,10345.19,Y
129,B,1.0346,0,10346.81,Y
158,A,0,0,10350.51,N
230,A,0.5175,0,10350.65,N
128,A,0,0,10351.07,N
143,A,0,0,10355.88,N
112,A,0.1381,0,10358.97,N
59,A,0,0,10362.31,N
60,A,0.4146,0,10365.69,N
75,A,0.9305,0,10367.22,Y
48,D,0.5183,0,10367.72,N
27,A,0,0,10368.47,N
36,D,0.1036,0,10369.69,N
24,B,0.5185,0,10370.48,Y
158,A,0.1383,0,10372.52,N
360,B,0.2119,0,10384.94,N
111,A,0.6923,0,10385.92,N
56,B,0.1039,0,10391.01,N
91,A,0,0,10391.62,N
48,A,0.52,0,10400.36,N
100,B,0.1705,0,10401.71,N
74,D,0.6012,0,10405.33,N
116,B,0.694,0,10410.68,N
108,A,0.2313,0,10411.34,N
14,A,0.694,0,10411.48,N
150,A,0.4165,0,10414.14,N
161,A,0,0,10415.63,N
261,A,0,0,10418.05,N
14,A,0.4167,0,10418.39,N
343,B,0,0,10418.82,N
351,D,0.5212,0,10424.47,N
484,C,0.2606,0,10427.33,N
58,A,0,0,10427.79,N
40,D,0.3476,0,10430.07,N
90,B,0.1739,0,10437.15,N
78,A,0.348,0,10440.42,N
167,B,0.6963,0,10445.34,N
105,A,0.2611,0,10446.1,N
70,B,0.2611,0,10447.56,N
48,A,0.5224,0,10449,N
66,B,,,10449.53,N
92,A,0,0,10452.25,N
184,A,0,0,10455.57,N
202,A,0.5228,0,10457.26,N
34,A,0,0,10459.02,N
13,A,0.3488,0,10464.6,N
12,B,0.4186,0,10465.66,N
34,B,0.1395,0,10466.42,N
35,D,0.3489,0,10467.7,N
302,B,0.6077,0,10468.54,N
47,A,0.9045,0,10469.29,N
37,A,0.2094,0,10470.44,N
121,A,0.4188,0,10470.99,N
79,A,0.1047,0,10471.32,N
236,A,0.6981,0,10471.62,N
27,A,0.5236,0,10471.89,N
17,B,1.0479,32,10478.51,Y
113,A,0.2993,0,10478.58,N
155,A,0.4076,0,10479.62,N
31,A,0,0,10481.3,N
50,B,0.6989,0,10484.66,N
55,B,0,0,10489.63,N
24,A,0.3499,0,10497.6,N
278,A,0,0,10500.76,N
362,A,0.21,0,10503.96,N
43,A,0,0,10505.77,Y
58,A,0,0,10506.49,N
40,D,,,10507.77,Y
92,A,0.1401,0,10513.03,N
205,A,0.701,0,10516.16,N
51,A,0,0,10516.81,N
74,A,0.2338,0,10525.24,N
37,A,0,0,10527.69,N
50,A,0.5762,0,10527.85,N
57,A,0.3009,0,10534.34,N
305,B,0.2086,0,10534.63,Y
197,C,0.2106,0,10534.84,N
12,D,0.7024,0,10537.09,N
26,B,0.2777,0,10537.1,N
455,A,0.1054,0,10540.4,N
24,B,0.1405,0,10541.37,N
163,C,0,0,10546.66,N
36,A,0.1054,0,10547.38,N
62,A,0,0,10548.23,N
76,B,0.2344,0,10549.54,N
57,A,0.3516,0,10550.91,N
24,A,0.4534,0,10551.43,N
83,A,0.5276,0,10553.18,N
204,A,0,0,10555.46,N
40,B,0.5278,0,10556.27,N
101,B,0.5278,0,10557.34,N
115,A,0.1759,0,10557.88,N
318,C,0.2112,0,10560.87,N
66,A,0.4159,0,10566.26,N
90,A,1.0567,0,10567.96,Y
138,B,0.2113,0,10568.28,N
186,B,0.3303,0,10569.93,N
48,A,0.5285,2,10570.38,N
278,D,0,0,10574.14,N
142,D,0.3525,0,10576.41,N
28,B,0,0,10580.02,N
202,D,0.1058,0,10585.47,N
93,A,0.8441,1,10587.17,N
255,C,0.1058,0,10588.11,N
95,B,0.3101,0,10594.39,N
154,A,0.6019,0,10594.89,N
109,A,0.3533,0,10599.34,N
145,B,0.1766,0,10601.12,N
403,A,0.2905,0,10606.07,Y
118,A,0,0,10608.73,N
252,B,0.7074,0,10610.7,N
39,A,0.2122,0,10612.44,N
50,B,0.5586,0,10613.52,N
88,A,0.5308,0,10617.77,N
30,A,0.1061,0,10619.04,N
15,B,0,0,10619.66,N
63,C,0.1327,0,10620.51,N
17,A,0,0,10621.93,N
43,C,0.5312,0,10625.4,N
116,C,0.7085,0,10627.69,N
49,B,0.5315,0,10631.74,N
220,D,0,0,10632.03,N
27,D,0.5316,0,10632.45,N
293,B,0,0,10633.59,N
72,A,0,0,10635.23,N
12,A,0.532,0,10640.14,Y
136,A,0.1064,0,10640.51,N
166,A,0.532,0,10640.62,N
49,A,0.528,0,10642.07,Y
20,B,0.7095,0,10643.86,Y
88,B,0,0,10645.69,N
324,C,0.3041,0,10645.82,N
64,A,0.2366,0,10648.44,N
197,A,0.213,0,10651.6,N
163,C,0.7104,0,10657.15,N
67,A,0,0,10663.47,N
147,A,0.2665,0,10663.83,N
31,A,0.4123,0,10664.08,N
158,B,0,0,10665.08,N
148,B,0.1422,0,10666.87,N
80,A,0.2371,0,10671.3,N
172,C,0.4269,0,10674.18,N
48,C,0.305,0,10678,N
43,B,0.89,0,10680.91,N
37,B,0.5276,0,10683.87,N
381,A,0,0,10684.36,N
94,A,0.5343,0,10686.22,N
62,A,0.2671,0,10687.03,N
51,A,0.1782,0,10692.15,N
13,A,0.4277,0,10694.09,N
121,B,0.2673,0,10694.82,N
72,B,0.1075,0,10694.87,N
24,A,0.214,0,10704.17,N
114,A,0.2141,0,10705.64,N
228,A,0,0,10708.47,N
50,A,0.2142,0,10710.91,N
27,A,0.5357,0,10715.71,N
41,A,0.3572,0,10717.79,N
126,B,0,0,10724.73,N
116,A,0,0,10726.87,N
82,B,0,0,10730.24,N
147,A,0,0,10736.08,N
13,A,0,0,10737.56,N
30,D,0,0,10739.55,N
145,B,0.358,0,10740.25,N
116,A,0.7161,0,10741.59,N
39,A,0.4298,0,10747.18,N
246,B,0.7326,0,10751.36,N
260,A,0,0,10752.02,N
26,B,0.7168,0,10752.47,N
48,B,0.0954,0,10753.53,N
74,A,0.5378,0,10756.14,N
70,D,0,0,10756.19,N
42,A,0.538,0,10760.04,N
97,A,0.4304,0,10762.41,N
12,C,0.7176,0,10765.45,N
12,A,3.5898,0,10769.5,N
24,A,0.2157,0,10785.77,N
17,E,0.2157,0,10788.43,N
171,A,0.0616,0,10789.84,N
193,A,1.1153,0,10790.24,N
23,D,0.5396,0,10792.68,N
233,D,0.1798,0,10793.62,N
82,A,0,0,10796.02,N
56,B,0.216,0,10800.76,N
26,B,0.216,0,10801.26,N
203,A,0.27,0,10801.75,N
141,C,0.216,0,10802.58,N
46,A,0.1271,0,10806.13,N
99,A,0.2205,0,10808.73,N
75,A,0.7206,0,10809.58,N
204,A,0.3603,0,10810.71,N
42,A,0.1081,0,10811.02,N
125,B,0,0,10820.05,N
24,A,0.2705,0,10822.16,N
24,B,0.7215,0,10822.53,N
165,A,1.0825,0,10825.29,N
39,A,0.4332,0,10831.11,N
256,A,0.4332,0,10831.77,N
262,B,0.4326,0,10832.68,N
36,B,0,0,10833.82,N
322,A,0.3612,0,10836.63,N
117,A,0,0,10842.52,N
75,A,0.4974,0,10845.01,N
41,B,0,0,10845.85,N
65,B,0.6198,0,10847.89,N
99,D,0.5424,0,10849.32,N
275,A,0.4339,0,10849.89,N
13,A,0,0,10852.08,N
24,B,0.9043,0,10852.18,Y
91,A,0.7235,0,10852.82,N
42,A,0.5427,0,10854.45,N
253,A,0.2171,0,10855.04,N
63,B,0.7236,0,10855.19,N
181,A,0.2714,0,10859.5,N
49,A,0.4577,0,10859.58,N
101,A,0,0,10859.71,N
101,A,0.5074,0,10860.1,N
256,A,0.2172,0,10862.53,N
38,A,0.5431,0,10863.72,N
170,A,0,0,10863.94,N
60,D,0.0025,0,10865.64,N
42,B,0.2173,0,10869.9,N
25,D,0.4348,0,10870.01,N
14,B,0.7249,0,10874.35,N
52,A,0.4352,0,10881.15,N
233,A,0,0,10881.21,N
95,A,0.7254,0,10881.8,N
49,A,0.2721,0,10885.17,N
223,A,0,0,10885.93,N
93,A,0,0,10890.39,N
152,D,0,0,10892.01,N
97,A,0.4357,0,10892.75,N
91,A,0.5449,0,10899.45,Y
277,A,0,0,10905.25,N
25,A,0.1817,0,10907.35,N
140,A,0.7272,0,10908.01,Y
15,A,0.7273,0,10910.02,N
32,A,0.5455,0,10911.96,Y
75,A,0.8171,0,10916.7,N
70,A,0.1091,0,10918.72,N
312,D,0.3639,0,10919.78,N
80,A,0.8177,0,10921.68,N
64,A,0.5462,0,10925.01,N
43,A,0,0,10925.95,N
196,A,0,0,10927.22,N
70,D,0.7286,0,10929.42,N
62,A,0.2186,0,10930.5,N
406,C,0.3417,0,10936.02,Y
58,B,0.7291,0,10936.59,N
321,A,0.1823,0,10940,N
229,A,0.7296,0,10944.03,N
47,B,0,0,10947.14,N
92,A,0.438,0,10950,N
55,B,0.73,0,10951.35,N
261,B,0,0,10952.07,N
96,A,0.1095,0,10953.6,N
60,B,0,0,10954.43,N
27,A,0.7307,0,10961.07,N
114,A,0,0,10964.29,N
44,A,0.3656,0,10969.92,Y
47,A,0.4388,0,10972.04,N
73,D,0.5486,0,10972.51,N
144,A,0.5487,0,10974.33,Y
321,B,0.4392,0,10980.27,N
37,A,0,0,10987.07,N
75,B,0.5494,0,10988.6,N
57,A,0.314,0,10993.26,N
55,A,0.7328,0,10993.43,N
48,A,0.5498,0,10996.59,N
318,B,0.3666,0,10998.18,N
25,A,0.4401,0,11003.93,N
37,A,0.22,0,11004.42,N
70,A,0.2752,0,11009.38,N
24,A,0.4404,0,11010.44,N
77,B,0.7343,0,11014.88,N
116,A,0.7344,0,11016.37,N
368,B,1.1022,0,11022.07,N
125,A,0,0,11026.84,N
62,B,0.0007,0,11028.19,N
78,A,0,0,11030.19,N
62,A,0.7353,0,11030.56,N
34,A,0.9937,0,11030.58,Y
26,A,0.4412,0,11031.72,N
136,D,0,0,11035.06,N
99,A,0.1103,0,11036.85,N
54,A,0.4346,0,11040.28,N
177,B,0.2208,0,11042.09,N
106,A,0.1842,0,11055.02,N
48,A,0.2211,0,11056.75,N
299,A,0.6418,0,11057.87,Y
51,B,0,0,11060.05,N
24,A,0.4424,0,11060.41,N
54,C,0.3688,0,11065.08,N
91,B,0.1475,0,11065.56,N
106,C,0.3162,0,11069.36,N
210,A,0,0,11069.82,N
107,B,0.369,0,11070.57,N
45,B,0.5535,0,11071.56,N
124,A,0.7381,0,11072.47,N
55,B,0.2307,0,11075.92,N
44,B,0.2463,0,11085.47,N
18,A,0.731,0,11086.05,Y
72,A,0.279,0,11087.16,N
35,B,0.1464,0,11089.73,N
143,B,0.5545,0,11089.85,N
267,B,0.3698,0,11095.2,N
36,A,0.444,0,11100.4,N
59,B,0.2775,0,11100.82,N
80,A,0.4442,0,11106.76,Y
51,A,0.5553,0,11107.73,N
98,A,0.2222,0,11111.46,N
36,C,0.5715,0,11112.77,N
187,A,0,0,11116.7,N
40,A,0.3705,0,11117.61,N
107,A,0,0,11120.32,N
39,A,0.1112,0,11121.87,N
62,B,0.7418,0,11128.49,Y
67,A,0.5567,0,11134.47,N
109,B,0.3712,0,11138.64,N
172,B,0,0,11138.78,N
103,A,0.7425,0,11138.83,N
90,A,0,0,11139.6,N
362,A,0.1591,0,11140.52,N
133,B,0.1271,0,11145.83,N
606,B,0.1857,0,11146.33,N
111,A,0.9695,0,11149.74,N
67,B,0.7433,0,11150.38,N
36,D,0.3719,0,11159.54,N
72,A,0,0,11162.73,N
221,A,0,0,11163.42,N
73,A,0.7443,0,11165.89,N
173,D,0,0,11166.84,N
25,A,0.8924,1,11169.16,N
160,C,0.4468,0,11171.73,N
56,A,0.2793,0,11173.31,N
48,A,0.1489,0,11174.35,N
191,B,0.5588,0,11177.28,N
377,A,0.5589,1,11178.88,N
68,C,0.5589,0,11179.91,N
295,B,0.7454,0,11181.36,N
99,A,0.4474,0,11187.47,N
15,A,1.3986,1,11189.51,N
36,A,0,0,11191.72,N
58,A,0,0,11193.58,N
169,A,0.3199,0,11197.23,N
101,B,0.7467,0,11201.62,N
429,A,0.7474,0,11211.85,N
39,A,0.1121,0,11213.49,N
72,B,0.7479,0,11219.45,N
33,D,0.7479,0,11219.59,N
,A,0.3206,0,11223.12,N
33,B,0.1496,0,11223.45,N
239,A,0.5612,0,11224.87,N
85,D,0.7484,0,11226.17,N
168,B,0.2245,0,11227.16,N
637,B,0.1604,0,11229.03,N
255,B,0.2495,0,11231.48,N
78,B,0.2246,0,11231.62,N
102,C,0.5993,0,11233.19,N
126,A,0.2321,0,11236.74,N
60,A,0,0,11238.24,N
263,D,0,0,11239.93,N
100,A,0,0,11246.5,N
281,A,0.225,0,11254.6,N
351,A,0,0,11257.78,N
13,A,0.3753,0,11260.82,N
240,B,0.7507,0,11260.97,N
65,B,0.5662,0,11268.12,N
12,A,0.7512,0,11268.7,N
81,A,0.4508,0,11270.32,N
47,A,0.1878,0,11271.5,N
78,A,0.2254,0,11274.48,N
49,A,0.8673,0,11275.57,N
14,D,0,0,11279.6,N
58,B,0.3761,0,11284.49,N
87,B,0.8681,0,11285.54,N
24,D,,2,11286.32,N
53,A,0.2258,0,11291.07,N
508,A,0.2258,0,11294.19,N
153,A,0,0,11296.12,N
188,B,0.2511,0,11301.55,N
66,D,0.7535,0,11302.66,N
234,A,0,0,11302.68,N
83,A,0,0,11304.22,N
48,A,0.113,0,11304.33,N
52,A,0,0,11313.43,N
153,A,0.2382,0,11315.22,N
207,A,0.7546,0,11319.59,Y
74,A,0.1887,0,11323.13,N
91,A,0.2265,0,11327.85,N
149,A,0.7552,0,11327.93,N
209,A,0.1133,0,11332.25,N
357,A,0.9066,0,11333.63,Y
150,B,0.5668,0,11337.72,N
105,A,0.1133,0,11338.28,N
221,F,0.1889,0,11339.34,N
69,A,0.378,0,11342.7,N
22,B,0.7244,0,11347.55,Y
27,A,0.8407,0,11349.41,Y
262,B,0.7566,0,11350.32,N
64,B,0.7568,0,11353.48,N
62,A,0.757,0,11356.22,N
34,A,0,0,11358.47,N
66,A,0.7574,0,11362.39,N
12,B,1.6237,181,11365.85,N
432,B,0.4547,0,11368.9,N
127,A,0.2274,1,11371.06,N
141,B,0.2274,0,11372.68,N
299,B,0.7582,0,11374.23,N
64,B,0.8068,0,11376.54,Y
110,A,0,0,11376.71,N
101,B,1.1383,0,11383.37,N
40,D,0.5692,6,11385.03,N
110,A,0,0,11387.74,N
88,A,0.2848,0,11394.05,N
33,A,0.8764,0,11394.36,N
43,D,0.2848,0,11394.54,N
71,A,0.3256,0,11396.71,N
37,D,0.7599,0,11398.94,N
99,A,0.228,0,11400.07,N
157,A,0.57,0,11400.58,N
24,B,0.7604,0,11406.57,N
76,A,0.1902,0,11413.99,N
37,C,1.1415,0,11415.84,N
92,B,0.8456,0,11415.97,N
154,B,0.2283,0,11417.1,N
328,A,0,0,11419.41,N
123,A,0.9437,0,11419.93,N
132,C,0,0,11420.37,N
53,A,0.1757,0,11420.86,N
74,A,0,0,11421.64,N
13,A,0.3263,0,11422.58,N
38,A,0.7618,0,11427.29,N
208,A,0.2286,0,11431.1,N
39,B,0,0,11432.71,N
14,A,0.5719,0,11437.78,N
32,A,0.5675,0,11439.21,Y
142,A,0.572,0,11440.84,N
112,A,0.7627,0,11441.77,N
90,D,0.7628,0,11442.04,N
24,B,0.763,0,11446.09,N
64,A,0.587,0,11446.6,Y
67,A,0.2544,0,11447.62,N
60,A,0.5724,0,11448.03,N
114,A,0,0,11450.9,N
43,A,0.9545,0,11454.65,Y
13,D,1.432,0,11456.19,Y
160,A,0,0,11456.97,N
733,A,0,0,11458.23,N
159,A,0.1145,0,11458.76,N
38,A,0.2291,0,11459.44,N
99,A,0.1145,0,11459.67,N
84,B,0.573,0,11461.11,N
235,B,0.2292,0,11461.25,N
36,C,0.5731,0,11463.53,N
37,A,0.3277,0,11471.73,N
106,A,0,0,11471.96,N
76,A,0.5737,0,11475.71,N
17,A,0,0,11478.32,N
14,B,0.2296,0,11480.49,N
217,A,0.153,0,11481.01,N
62,A,0.7654,0,11481.53,N
37,A,0.574,0,11481.86,N
357,A,0.2297,0,11485.53,N
65,D,0.2298,0,11491.45,N
71,A,0.2299,0,11497.3,N
79,B,0.5754,0,11509.55,N
102,A,0.7674,0,11511.87,N
36,B,0.5759,0,11519.11,N
36,C,0.7111,0,11520.36,N
61,A,0.2304,0,11521.82,N
48,A,0,0,11530.37,N
110,A,0.4612,0,11530.49,N
204,A,0,0,11533.23,N
162,A,0.5768,0,11536.99,N
90,C,0.4619,0,11547.73,N
34,B,0.2449,0,11548.1,N
50,A,0.9625,0,11550.13,N
13,A,0.462,0,11551.14,N
61,A,0.1155,0,11558.12,N
55,A,0.5781,0,11563.8,N
37,D,0.278,0,11566.42,N
76,B,0.7711,0,11566.84,N
144,B,0.7711,0,11567.1,N
139,A,0,0,11573.51,N
265,B,1.1574,0,11574.03,N
57,A,0.7716,0,11574.09,N
57,A,0.4111,0,11576.37,N
36,A,0.1929,0,11576.82,N
55,A,0,0,11582.83,N
107,A,0.3861,0,11583.72,N
134,A,0,0,11587.7,N
42,A,0.4214,0,11589.96,N
101,A,0,0,11590.34,N
73,A,0.5797,0,11594.94,N
142,A,0.1159,0,11598.12,N
125,A,0,0,11598.7,N
92,B,0,0,11599.52,N
92,A,0.7734,0,11601.11,N
88,A,0.58,0,11601.46,N
76,B,0.3868,0,11605.82,N
263,A,0.4642,0,11606.14,N
113,A,0,0,11606.84,N
176,D,0.4643,0,11608.73,N
113,B,0.7739,0,11609.13,N
142,B,0.2903,0,11612.71,N
27,A,0,0,11623.9,N
30,A,0.1937,0,11626.13,N
87,A,0,0,11630.59,N
193,B,0.7755,0,11633.24,N
45,A,0.3879,0,11639.48,N
277,A,0,0,11642.11,N
40,C,0.5821,0,11642.44,N
39,D,0.1164,0,11645.64,N
21,A,0,0,11648.2,N
98,D,0.466,0,11652.29,N
346,A,0.5826,0,11653.15,N
88,A,0.233,0,11654.07,N
129,A,0,0,11654.33,N
107,A,0.7772,0,11658.31,N
22,B,0.4664,0,11661.54,N
233,A,0.2332,0,11663.12,N
220,A,0.4665,0,11663.83,N
621,B,0,0,11667.37,N
117,B,0.7778,0,11667.76,N
413,B,0.7111,0,11680.53,N
453,A,0,0,11685.1,N
14,A,0.7689,0,11689.2,Y
45,C,0,0,11691.69,Y
25,B,0,0,11695.22,N
56,B,0.2599,0,11699.92,N
209,A,0,0,11704.28,N
12,A,0,0,11704.37,N
79,A,0.3901,0,11704.54,N
98,B,0.4682,0,11705.02,N
92,A,0,0,11707.76,N
132,A,0,0,11708.07,N
259,A,0.7806,0,11709.03,N
91,A,0.2342,0,11711.6,N
173,A,0.2927,0,11711.98,N
137,A,0.7812,0,11718.39,N
285,A,0.293,0,11721.51,Y
153,C,0,0,11724.09,N
81,C,0.1172,0,11724.44,N
309,A,0.3909,0,11729.68,N
105,B,0.1564,0,11730.75,N
25,A,0,0,11732.3,N
376,A,0.4693,0,11733.18,N
134,B,0.5868,0,11736.58,N
52,A,0.1173,0,11739.64,N
57,A,0.1174,0,11740.66,N
63,A,0,0,11742.42,N
79,A,0,0,11746.35,N
116,A,0.7833,0,11749.66,N
319,A,0,0,11751.85,N
201,A,0.6528,0,11752.04,N
25,A,0,0,11752.35,N
143,B,0.4061,0,11755.69,N
267,A,0,0,11757.59,N
398,D,0,0,11758.99,N
145,A,0,0,11760.73,N
64,B,0.7848,0,11772.21,N
69,B,0.3925,0,11776.19,N
27,A,0.2804,0,11777.34,N
26,A,0.5889,0,11778.17,Y
75,A,0.7853,0,11780.18,N
93,B,0.1571,0,11786.34,N
39,A,0.1965,0,11792.21,N
90,A,0.2358,0,11794.92,N
75,D,0.2359,0,11799.23,N
170,B,0.472,0,11800.47,N
169,C,0.7867,0,11800.84,N
136,C,0.295,0,11801.39,N
115,A,0,0,11805.12,N
148,B,0.787,0,11805.58,N
49,A,0.7872,0,11808.11,N
251,B,0.4723,0,11809.42,N
184,C,0.4723,0,11809.59,N
258,B,0.2624,0,11811.52,N
43,B,0.1575,0,11814.02,N
59,A,1.9415,154,11817.31,Y
139,A,0.1181,0,11819.89,N
93,A,0.788,0,11820.07,N
344,D,0.5913,0,11826.58,N
19,A,0.3943,0,11831.19,N
18,A,0.8217,0,11833.24,Y
74,A,0,0,11834.83,N
37,B,0.7894,0,11841.96,N
12,A,0.7896,0,11845.49,N
168,B,0.3384,0,11846.78,N
370,C,0.5923,0,11846.82,N
255,D,0.3385,0,11847.57,N
13,A,0.79,0,11850.54,N
577,C,0.1185,2,11851.55,N
103,B,0.7903,0,11855.42,N
40,A,0.5928,0,11857.31,N
109,A,0.3952,0,11857.82,N
34,A,0.2372,0,11864.36,N
53,A,0.3955,0,11866.99,N
100,A,0.1929,0,11868.29,N
24,A,0.7913,0,11870.68,N
46,C,0.2374,0,11872.5,N
213,B,0,0,11873.92,N
85,A,0,0,11874.04,N
38,A,0.4656,0,11874.82,N
68,A,0.2352,0,11880.66,N
33,B,0.7921,0,11882.06,N
12,A,0.7805,0,11883.7,N
108,A,0.4064,0,11885.05,Y
27,A,0.7924,0,11886.81,N
241,B,0.5946,0,11892.77,N
49,A,0.7929,0,11894.84,N
214,A,0.5947,0,11895.2,N
20,D,0.9153,0,11899.13,N
16,B,0,0,11902.01,N
100,B,,0,11905.49,N
37,A,0.2381,0,11905.63,N
12,A,0.397,0,11911.01,N
76,A,0.397,0,11912.98,N
26,A,0.3971,0,11913.22,N
390,B,0,0,11916.61,N
63,A,0.7944,0,11916.79,N
167,A,0.7944,0,11916.91,N
56,A,0.4142,0,11920.88,N
141,A,0.1192,0,11922.15,N
107,B,,0,11923.33,N
78,B,0.5961,0,11923.34,N
250,B,0.7949,0,11923.76,N
250,B,0.265,0,11925.05,N
66,B,0.795,0,11925.24,N
183,B,0.0782,0,11926.36,N
58,A,0.6337,0,11928.36,N
84,A,0.2387,0,11935.17,N
68,A,0.7956,0,11935.32,N
126,A,0.4774,0,11935.36,Y
100,A,0.5968,0,11936.44,N
146,B,0.199,0,11942.3,N
250,B,0.1194,0,11943.05,N
91,B,0.5556,0,11945.86,N
12,B,0.7964,0,11946.3,N
39,A,0,0,11947.57,N
157,B,0.5974,0,11948.27,Y
64,A,0.7966,0,11950.16,N
76,B,0.6567,0,11952.7,Y
37,D,0.4781,0,11954.79,N
116,A,0.1992,0,11954.98,N
161,A,0,0,11957.17,N
312,A,0.7972,0,11958.49,N
151,B,0.7972,0,11959.09,N
249,A,0.2658,0,11962.68,N
71,B,0.5983,0,11967.12,N
20,B,0.3989,0,11968.43,N
52,B,0.2659,0,11969.54,N
135,A,0.1196,0,11969.93,N
127,D,0.5552,0,11970.62,N
38,B,0.5985,0,11970.85,N
186,A,0.1995,0,11972.45,N
156,A,0.2394,0,11973.14,N
112,B,0.398,0,11982.02,N
56,A,0,0,11985.52,N
76,A,0.2996,0,11987.13,N
44,A,1.0426,0,11990.1,Y
89,A,0,0,11994.17,N
268,A,0,0,11994.98,N
77,B,0.3999,0,11998.87,N
50,A,0.8003,0,12005.41,N
97,B,0,0,12005.95,N
114,A,0.6602,0,12006.88,N
43,A,0.8006,0,12009.17,N
85,A,0,0,12016.05,N
321,A,0.8012,0,12018.59,N
209,A,0.2404,0,12020.55,N
82,B,0.2404,0,12023.54,N
121,B,0.7933,0,12026.93,Y
47,C,0.2004,0,12029.06,N
89,B,0.8022,0,12033.38,N
128,A,0.2407,0,12035.24,N
186,A,0.4012,0,12037.27,N
24,C,0.3439,0,12038.21,N
386,A,0.1203,0,12038.7,N
50,A,0.8035,0,12052.74,N
197,B,0.6028,0,12056,N
188,A,0.2411,0,12058.01,N
347,A,0,0,12059.3,N
76,B,0.0027,0,12063.09,N
24,C,0,0,12063.9,N
158,A,0,0,12081.01,N
177,A,0.1208,0,12086.11,N
157,A,0.4834,0,12087.29,N
71,A,1.0072,0,12087.35,N
61,A,0,0,12087.77,N
56,A,0.4835,0,12088.59,N
212,A,0.806,0,12090.66,N
13,A,0.8061,0,12092.61,N
196,A,0.1209,0,12094.08,N
100,B,0.2419,0,12098.21,N
38,B,0.3457,0,12100.94,N
100,A,0.2689,0,12102.81,N
13,D,0.6052,0,12105.47,N
44,C,0.8071,0,12106.95,N
104,A,0.8075,0,12112.54,N
117,D,0.6058,0,12116.88,N
326,A,0,0,12117.66,N
62,A,0.8079,0,12118.72,N
51,A,0,0,12120.87,N
53,A,0,0,12121.79,N
83,B,0.8081,0,12122.04,N
36,D,0,0,12125.19,N
206,A,0.6063,0,12127.24,N
24,A,0.6064,0,12128.12,N
46,A,0.4852,0,12131.63,N
31,C,0.2426,0,12132.66,N
13,A,1.2133,0,12133.46,N
283,D,0,0,12140.63,N
512,C,0.8094,0,12142.14,N
61,A,0.9344,0,12147.65,N
55,A,0.2429,0,12147.87,N
12,A,0.4861,0,12153.84,Y
54,B,0.243,0,12153.89,N
126,A,0,0,12154.21,N
181,A,0.4052,0,12158.04,N
291,A,0.1621,0,12159.08,N
102,A,0.1216,0,12169.51,N
61,A,0.1216,0,12169.7,N
171,A,0,0,12171.5,N
52,B,0.8114,0,12171.83,N
38,B,0,0,12174.57,N
140,B,0.8116,0,12174.85,N
106,A,0.4058,0,12175.26,Y
237,A,0.8117,0,12176.23,N
43,E,0.812,0,12180.5,N
169,A,0,0,12187.96,N
43,A,0.2031,0,12188.06,N
26,B,0.2437,0,12189.11,N
12,A,0.6098,0,12197.99,N
15,A,0.8134,0,12201.57,N
304,A,0.6104,0,12207.69,N
77,A,0.2394,0,12208.29,Y
203,B,0.3488,0,12209.12,N
39,A,0.2036,0,12218.74,N
139,A,0,0,12231.36,N
48,A,0.1223,0,12231.76,N
14,B,0.4895,0,12237.97,N
61,A,0,0,12238.24,N
76,A,0.6799,0,12238.46,N
33,A,0,0,12241.84,N
52,B,0.2041,0,12246.13,N
142,A,0.817,0,12255.49,N
98,A,0.6127,0,12255.97,N
23,B,0.2451,0,12259.49,N
13,A,0,0,12268.73,N
173,A,0,0,12272.62,N
168,A,0.2454,0,12274.21,N
178,A,0,0,12275.24,N
99,D,0.2455,0,12277.18,N
52,B,0.614,0,12281.41,N
307,B,0.8188,0,12283.07,N
124,D,0,0,12293.9,N
303,A,0.2732,0,12294.11,N
301,A,0,0,12300.27,N
56,A,0.615,0,12301.22,N
59,A,0.164,0,12302.51,N
52,A,0.2072,0,12303.1,N
231,B,0.8203,0,12305.86,N
345,A,0.8204,0,12306.59,N
43,A,,,12307.46,N
163,B,0,0,12308.21,N
93,B,0.3468,0,12310.96,N
105,A,0.3078,0,12312.54,N
156,D,0.1231,0,12313.77,N
126,B,0.1641,0,12314.69,N
146,A,0.4105,0,12317.41,N
42,A,0.485,0,12319.88,N
